date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:47	112376/112376	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-1b6f8%22	https://undgn.id/silvi-aldi/css/font/fonts/BrittanySignature.otf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/BrittanySignature.otf	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:47	27536/27536	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-6b90%22	https://undgn.id/silvi-aldi/css/font/fonts/BrittanySignature.ttf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/BrittanySignature.ttf	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:47	102010/102010	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267272518-18e7a%22	https://undgn.id/silvi-aldi/css/font/fonts/DancingScript.eot	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/DancingScript.eot	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:48	58972/58972	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-e65c%22	https://undgn.id/silvi-aldi/css/font/fonts/DancingScript.woff2	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/DancingScript.woff2	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:49	52428/52428	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2267272518-cccc%22	https://undgn.id/silvi-aldi/css/font/fonts/DancingScript.woff	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/DancingScript.woff	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:49	249760/249760	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-3cfa0%22	https://undgn.id/silvi-aldi/css/font/fonts/DancingScript.otf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/DancingScript.otf	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:49	130480/130480	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-1fdb0%22	https://undgn.id/silvi-aldi/css/font/fonts/DancingScript.ttf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/DancingScript.ttf	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:49	66276/66276	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267272518-102e4%22	https://undgn.id/silvi-aldi/css/font/fonts/MonolineSignature.eot	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/MonolineSignature.eot	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:50	24732/24732	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-609c%22	https://undgn.id/silvi-aldi/css/font/fonts/MonolineSignature.woff2	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/MonolineSignature.woff2	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:50	33376/33376	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2267272518-8260%22	https://undgn.id/silvi-aldi/css/font/fonts/MonolineSignature.woff	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/MonolineSignature.woff	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:50	37070/37070	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Nov%202024%2016:21:51%20GMT	https://undgn.id/silvi-aldi/css/font/fonts/MonolineSignature.otf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/MonolineSignature.html	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:50	65968/65968	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-101b0%22	https://undgn.id/silvi-aldi/css/font/fonts/MonolineSignature.ttf	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/MonolineSignature.ttf	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:51	134125/134125	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267272518-20bed%22	https://undgn.id/silvi-aldi/css/font/fonts/LeJourScript.eot	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/LeJourScript.eot	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
23:21:51	48800/48800	---M--	200	added ('OK')	application/octet-stream	etag:%2267272518-bea0%22	https://undgn.id/silvi-aldi/css/font/fonts/LeJourScript.woff2	C:/My%20Web%20Sites/tes/undgn.id/silvi-aldi/css/font/fonts/LeJourScript.woff2	(from https://undgn.id/silvi-aldi/?to=X+MIPA+2)
